RetrieverType,TopK,HybridAlpha,Retrieval Hit@K,F1,BLEU,ROUGE-L,Semantic Similarity,Faithfulness,Hallucination Rate,Extrinsic Hallucination Rate,Intrinsic Hallucination Rate,Focused Faithfulness,Focused Hallucination Rate,Focused Extrinsic Hallucination Rate,Focused Intrinsic Hallucination Rate,Off-topic Claim Rate
bm25,3,none,0.67,0.24082539682539683,10.64421726819868,0.5249432234432234,0.6892055,0.66,0.34,0.05,0.29,0.66,0.34,0.05,0.29,0.0
bm25,5,none,0.72,0.2415,9.87829966115086,0.5578333333333333,0.7101473,0.74,0.26,0.03,0.23,0.74,0.26,0.03,0.23,0.0
bm25,10,none,0.92,0.24452380952380953,9.776386044600669,0.5547142857142857,0.7178125,0.74,0.26,0.01,0.25,0.74,0.26,0.01,0.25,0.0
dpr,3,none,0.91,0.3354920634920635,13.747407961153886,0.672015873015873,0.77851385,0.77,0.23,0.03,0.20,0.77,0.23,0.03,0.20,0.0
dpr,5,none,0.94,0.33584920634920634,12.537913396384633,0.6918174603174603,0.8031894,0.86,0.14,0.00,0.14,0.86,0.14,0.00,0.14,0.0
dpr,10,none,1.0,0.3486269841269841,13.04480220077649,0.7187619047619047,0.81845355,0.84,0.16,0.02,0.14,0.84,0.16,0.02,0.14,0.0
hybrid,3,0.2,0.9,0.32315873015873015,16.265362730756184,0.6789603174603175,0.79147035,0.92,0.08,0.00,0.08,0.92,0.08,0.00,0.08,0.0
hybrid,3,0.5,0.83,0.3091844070961718,15.47775873804882,0.647888888888889,0.7642827,0.85,0.15,0.02,0.13,0.85,0.15,0.02,0.13,0.0
hybrid,3,0.8,0.68,0.22516853408029877,12.291673078580452,0.5265543345543345,0.68911934,0.88,0.12,0.02,0.10,0.88,0.12,0.02,0.10,0.0
hybrid,5,0.2,0.97,0.36193650793650795,16.00701562438241,0.7145992063492064,0.8207708,0.94,0.06,0.00,0.06,0.94,0.06,0.00,0.06,0.0
hybrid,5,0.5,0.92,0.30438095238095236,14.159285697823186,0.655904761904762,0.7890922,0.90,0.10,0.00,0.10,0.90,0.10,0.00,0.10,0.0
hybrid,5,0.8,0.81,0.2737698412698413,14.515773059529378,0.629904761904762,0.77894473,0.92,0.08,0.00,0.08,0.92,0.08,0.00,0.08,0.0
hybrid,10,0.2,0.99,0.3696031746031746,15.86532758404271,0.7226825396825397,0.82898474,0.94,0.06,0.00,0.06,0.94,0.06,0.00,0.06,0.0
hybrid,10,0.5,0.98,0.3166031746031746,14.66299987824089,0.6650714285714285,0.7930544,0.90,0.10,0.00,0.10,0.90,0.10,0.00,0.10,0.0
hybrid,10,0.8,0.94,0.28043650793650793,14.91172785877483,0.6374047619047619,0.77983856,0.92,0.08,0.00,0.08,0.92,0.08,0.00,0.08,0.0